Benchmark,Accuracy(%),MPKI
400.perlbench-41B.champsimtrace.xz,98.77,2.537
400.perlbench-50B.champsimtrace.xz,98.55,3.143
401.bzip2-226B.champsimtrace.xz,93.1,8.091
401.bzip2-277B.champsimtrace.xz,90.41,15.17
401.bzip2-38B.champsimtrace.xz,96.31,4.36
401.bzip2-7B.champsimtrace.xz,92.44,11.35
403.gcc-16B.champsimtrace.xz,99.92,0.1539
403.gcc-17B.champsimtrace.xz,99,2.171
403.gcc-48B.champsimtrace.xz,99.87,0.2867
429.mcf-184B.champsimtrace.xz,91.43,20.56
429.mcf-192B.champsimtrace.xz,91.16,21.24
429.mcf-217B.champsimtrace.xz,98.48,1.725
429.mcf-22B.champsimtrace.xz,98.53,1.266
429.mcf-51B.champsimtrace.xz,93.57,15.51
445.gobmk-17B.champsimtrace.xz,91.68,14.74
445.gobmk-2B.champsimtrace.xz,92.47,14.73
445.gobmk-30B.champsimtrace.xz,89.34,19.48
445.gobmk-36B.champsimtrace.xz,90.31,17.59
458.sjeng-1088B.champsimtrace.xz,95.2,10.62
458.sjeng-283B.champsimtrace.xz,95.27,10.55
458.sjeng-31B.champsimtrace.xz,94.45,12.52
458.sjeng-767B.champsimtrace.xz,95.14,10.78
471.omnetpp-188B.champsimtrace.xz,97.67,5.611
473.astar-153B.champsimtrace.xz,98.3,2.224
473.astar-359B.champsimtrace.xz,92.65,14.51
473.astar-42B.champsimtrace.xz,80.06,37.59
