Benchmark,Accuracy(%),MPKI
400.perlbench-41B.champsimtrace.xz,99.05,1.946
400.perlbench-50B.champsimtrace.xz,98.95,2.284
401.bzip2-226B.champsimtrace.xz,94.04,6.995
401.bzip2-277B.champsimtrace.xz,91.94,12.74
401.bzip2-38B.champsimtrace.xz,97.07,3.465
401.bzip2-7B.champsimtrace.xz,93.61,9.597
403.gcc-16B.champsimtrace.xz,99.94,0.1147
403.gcc-17B.champsimtrace.xz,99.25,1.617
403.gcc-48B.champsimtrace.xz,99.88,0.2652
429.mcf-184B.champsimtrace.xz,92.05,19.09
429.mcf-192B.champsimtrace.xz,91.85,19.58
429.mcf-217B.champsimtrace.xz,98.95,1.194
429.mcf-22B.champsimtrace.xz,98.75,1.081
429.mcf-51B.champsimtrace.xz,94.82,12.49
445.gobmk-17B.champsimtrace.xz,96.52,6.162
445.gobmk-2B.champsimtrace.xz,95.69,8.425
445.gobmk-30B.champsimtrace.xz,93.14,12.53
445.gobmk-36B.champsimtrace.xz,94,10.89
458.sjeng-1088B.champsimtrace.xz,96.74,7.217
458.sjeng-283B.champsimtrace.xz,96.69,7.384
458.sjeng-31B.champsimtrace.xz,96.08,8.844
458.sjeng-767B.champsimtrace.xz,96.45,7.877
471.omnetpp-188B.champsimtrace.xz,97.85,5.178
473.astar-153B.champsimtrace.xz,98.72,1.674
473.astar-359B.champsimtrace.xz,93.2,13.43
473.astar-42B.champsimtrace.xz,84.39,29.44
