Benchmark,Accuracy(%),MPKI
400.perlbench-41B.champsimtrace.xz,98.76,2.544
400.perlbench-50B.champsimtrace.xz,98.55,3.15
401.bzip2-226B.champsimtrace.xz,93.08,8.116
401.bzip2-277B.champsimtrace.xz,90.37,15.22
401.bzip2-38B.champsimtrace.xz,96.33,4.335
401.bzip2-7B.champsimtrace.xz,92.44,11.36
403.gcc-16B.champsimtrace.xz,99.92,0.1547
403.gcc-17B.champsimtrace.xz,98.99,2.182
403.gcc-48B.champsimtrace.xz,99.87,0.2863
429.mcf-22B.champsimtrace.xz,98.53,1.267
429.mcf-51B.champsimtrace.xz,93.57,15.5
429.mcf-184B.champsimtrace.xz,91.44,20.55
429.mcf-192B.champsimtrace.xz,91.16,21.23
429.mcf-217B.champsimtrace.xz,98.48,1.728
445.gobmk-17B.champsimtrace.xz,91.68,14.73
445.gobmk-2B.champsimtrace.xz,92.47,14.74
445.gobmk-30B.champsimtrace.xz,89.3,19.55
445.gobmk-36B.champsimtrace.xz,90.27,17.65
458.sjeng-1088B.champsimtrace.xz,95.18,10.66
458.sjeng-283B.champsimtrace.xz,95.25,10.6
458.sjeng-31B.champsimtrace.xz,94.45,12.52
458.sjeng-767B.champsimtrace.xz,95.11,10.84
471.omnetpp-188B.champsimtrace.xz,97.67,5.616
473.astar-153B.champsimtrace.xz,98.28,2.245
473.astar-359B.champsimtrace.xz,92.61,14.58
473.astar-42B.champsimtrace.xz,80.11,37.5
